x y z rvir redshift log_sSFR color
-0.10195 0.05499 0.68068 0.00071 0.02300 -9.21 blue
-0.25563 0.02891 0.64075 0.00086 0.02300 -9.43 blue
-0.27303 -0.01689 0.76988 0.00123 0.02713 -9.36 blue
-0.23000 0.05887 0.75328 0.00170 0.02625 3.91 blue
-0.20854 0.06055 0.72044 0.00150 0.02503 -10.68 blue
-0.13618 0.05986 0.63947 0.00138 0.02189 -10.53 blue
-0.13747 0.05168 0.73101 0.00172 0.02480 -11.35 blue
-0.12802 0.04549 0.58887 0.00109 0.02017 -9.70 blue
-0.11568 0.04244 0.58922 0.00154 0.02009 -11.44 blue
-0.13826 0.05531 0.79145 0.00109 0.02675 -9.79 blue
-0.11434 0.04619 0.61393 0.00241 0.02089 -11.11 blue
-0.15450 0.06023 0.76710 0.00119 0.02608 nan blue
-0.10133 0.04570 0.64728 0.00111 0.02189 4.00 blue
-0.13108 0.05160 0.66399 0.00128 0.02262 -10.59 blue
-0.10989 0.05273 0.70082 0.00107 0.02368 -10.72 blue
-0.13758 0.05916 0.77391 0.00122 0.02619 -12.51 red
-0.11716 0.06290 0.80193 0.00203 0.02700 -10.75 blue
-0.10246 0.06597 0.73792 0.00180 0.02488 -12.90 red
-0.10702 0.04957 0.67237 0.00146 0.02274 -12.11 red
-0.12592 0.05792 0.68831 0.00274 0.02338 -12.45 red
-0.12335 0.05150 0.58256 0.00124 0.01995 -10.48 blue
-0.14655 0.05604 0.74979 0.00104 0.02547 -10.41 blue
-0.10031 0.04837 0.56918 0.00091 0.01937 -10.01 blue
-0.13942 0.07467 0.74621 0.00095 0.02536 -9.74 blue
-0.12410 0.05155 0.73105 0.00204 0.02473 -10.81 blue
-0.10561 0.05837 0.70643 0.00166 0.02386 -10.88 blue
-0.09411 0.05557 0.65497 0.00145 0.02213 -12.02 red
-0.14132 0.05839 0.74329 0.00203 0.02524 -11.32 blue
-0.14129 0.05205 0.73907 0.00133 0.02509 3.88 blue
-0.11301 0.07029 0.73028 0.00125 0.02470 -10.55 blue
-0.12530 0.05278 0.74755 0.00225 0.02527 -11.03 blue
-0.09333 0.04034 0.56635 0.00111 0.01922 -10.82 blue
-0.11411 0.05848 0.69222 0.00118 0.02344 -11.09 blue
-0.12750 0.05663 0.80076 0.00128 0.02699 4.30 blue
-0.25702 0.08016 0.78979 0.00123 0.02770 -9.60 blue
-0.14308 0.05761 0.77219 0.00124 0.02617 -10.43 blue
-0.10309 0.04913 0.58020 0.00463 0.01974 -11.14 blue
-0.13098 0.06159 0.71551 0.00145 0.02429 -10.36 blue
-0.11930 0.06172 0.71824 0.00309 0.02432 -11.14 blue
-0.10147 0.04633 0.60086 0.00117 0.02040 -11.23 blue
-0.10736 0.05619 0.70460 0.00148 0.02380 -11.11 blue
-0.12012 0.06452 0.81640 0.00105 0.02748 4.16 blue
-0.11397 0.05638 0.75226 0.00190 0.02537 -10.13 blue
-0.08671 0.04263 0.56982 0.00107 0.01930 3.94 blue
-0.09791 0.04851 0.69472 0.00166 0.02342 -11.45 blue
-0.13123 0.06046 0.68758 0.00139 0.02340 3.47 blue
-0.13752 0.05431 0.77633 0.00091 0.02626 -9.61 blue
-0.12387 0.06053 0.62048 0.00155 0.02120 -10.08 blue
-0.13268 0.06583 0.63620 0.00091 0.02178 -9.52 blue
-0.13917 0.05824 0.77422 0.00113 0.02621 -13.09 red
-0.10884 0.06000 0.74214 0.00210 0.02503 -11.28 blue
-0.09494 0.03814 0.60965 0.00087 0.02063 nan blue
-0.12449 0.04494 0.79680 0.00074 0.02683 -9.54 blue
0.09553 -0.05089 0.70359 0.00160 0.02370 -10.58 blue
0.05182 0.04897 0.64185 0.00153 0.02153 -9.38 blue
-0.11663 0.04507 0.74741 0.00074 0.02520 nan blue
-0.12309 0.04959 0.78957 0.00072 0.02660 nan blue
-0.27716 -0.07601 0.70306 0.00094 0.02526 nan blue
-0.12606 0.05124 0.80770 0.00066 0.02720 nan blue
-0.12334 0.04325 0.78690 0.00096 0.02650 -10.44 blue
-0.11982 0.04576 0.62938 0.00125 0.02142 -10.34 blue
-0.10582 0.04496 0.57717 0.00102 0.01965 -11.03 blue
-0.12400 0.05377 0.67918 0.00105 0.02307 -12.21 red
-0.11095 0.05134 0.64575 0.00135 0.02191 -11.09 blue
-0.12810 0.06097 0.78794 0.00113 0.02660 4.24 blue
-0.10887 0.05139 0.72209 0.00154 0.02436 -10.95 blue
-0.10479 0.04555 0.67165 0.00088 0.02270 -8.82 blue
-0.10925 0.06247 0.70687 0.00066 0.02390 -9.32 blue
-0.05815 0.05149 0.63395 0.00068 0.02130 -9.78 blue
-0.06380 -0.04186 0.65008 0.00274 0.02182 -10.22 blue
0.05524 -0.01707 0.65617 0.00403 0.02196 -12.06 red
-0.12898 0.05901 0.68329 0.00100 0.02324 4.53 blue
-0.11929 0.06075 0.73924 0.00108 0.02499 -10.45 blue
-0.11833 0.06436 0.78078 0.00238 0.02633 -10.54 blue
-0.09502 0.04726 0.64696 0.00159 0.02186 -11.13 blue
0.08119 -0.05209 0.61317 0.00161 0.02071 nan blue
-0.12191 0.05930 0.68326 0.00074 0.02320 -9.41 blue
-0.11834 0.04557 0.63829 0.00140 0.02170 -13.09 red
