NSAID x y z rvir redshift log_sSFR color
672633 -0.09829 0.03828 0.58366 1.20556 0.01980 -11.85 red
670585 -0.07848 -0.06066 0.66941 4.99014 0.02255 -10.82 red
672377 -0.10054 0.04383 0.62064 1.09822 0.02102 -11.89 red
674000 -0.14292 0.03542 0.67125 1.60523 0.02289 -9.92 blue
673824 -0.15005 0.07143 0.74249 0.88722 0.02530 nan blue
677622 -0.27989 -0.07523 0.71090 1.55858 0.02552 nan blue
671977 -0.10876 0.04057 0.71309 0.39110 0.02405 nan blue
674262 -0.13712 0.06195 0.62646 1.00874 0.02148 -9.30 blue
671941 -0.10195 0.05499 0.68068 0.71079 0.02300 -9.21 blue
678404 -0.25563 0.02891 0.64075 0.85832 0.02300 -9.43 blue
677076 -0.27303 -0.01689 0.76988 1.22811 0.02713 -9.36 blue
418461 -0.23000 0.05887 0.75328 1.69947 0.02625 3.91 blue
418550 -0.20854 0.06055 0.72044 1.49574 0.02503 -10.68 red
424890 -0.13618 0.05986 0.63947 1.37933 0.02189 -10.53 red
426998 -0.13747 0.05168 0.73101 1.72029 0.02480 -11.35 red
426869 -0.12802 0.04549 0.58887 1.08787 0.02017 -9.70 blue
426923 -0.11568 0.04244 0.58922 1.54108 0.02009 -11.44 red
427493 -0.13826 0.05531 0.79145 1.09099 0.02675 -9.79 blue
427000 -0.11434 0.04619 0.61393 2.40880 0.02089 -11.11 red
426916 -0.15450 0.06023 0.76710 1.18511 0.02608 nan blue
427584 -0.10133 0.04570 0.64728 1.10731 0.02189 4.00 blue
426920 -0.13108 0.05160 0.66399 1.28168 0.02262 -10.59 red
427596 -0.10989 0.05273 0.70082 1.06926 0.02368 -10.72 red
427021 -0.13758 0.05916 0.77391 1.21595 0.02619 -12.51 red
671846 -0.11716 0.06290 0.80193 2.02714 0.02700 -10.75 red
427669 -0.10246 0.06597 0.73792 1.79845 0.02488 -12.90 red
427595 -0.10702 0.04957 0.67237 1.45635 0.02274 -12.11 red
427010 -0.12592 0.05792 0.68831 2.73510 0.02338 -12.45 red
426906 -0.12335 0.05150 0.58256 1.24446 0.01995 -10.48 blue
426926 -0.14655 0.05604 0.74979 1.04432 0.02547 -10.41 blue
427033 -0.10031 0.04837 0.56918 0.91352 0.01937 -10.01 blue
427088 -0.13942 0.07467 0.74621 0.94618 0.02536 -9.74 blue
672706 -0.12410 0.05155 0.73105 2.03588 0.02473 -10.81 red
427608 -0.10561 0.05837 0.70643 1.65794 0.02386 -10.88 red
427634 -0.09411 0.05557 0.65497 1.45414 0.02213 -12.02 red
426962 -0.14132 0.05839 0.74329 2.03229 0.02524 -11.32 red
426973 -0.14129 0.05205 0.73907 1.33210 0.02509 3.88 blue
427716 -0.11301 0.07029 0.73028 1.24994 0.02470 -10.55 red
427515 -0.12530 0.05278 0.74755 2.24792 0.02527 -11.03 red
427525 -0.09333 0.04034 0.56635 1.10740 0.01922 -10.82 red
427533 -0.11411 0.05848 0.69222 1.18198 0.02344 -11.09 red
427588 -0.12750 0.05663 0.80076 1.28329 0.02699 4.30 blue
429555 -0.25702 0.08016 0.78979 1.23124 0.02770 -9.60 blue
426995 -0.14308 0.05761 0.77219 1.24196 0.02617 -10.43 blue
427006 -0.10309 0.04913 0.58020 4.63347 0.01974 -11.14 red
427011 -0.13098 0.06159 0.71551 1.44750 0.02429 -10.36 blue
427766 -0.11930 0.06172 0.71824 3.08620 0.02432 -11.14 red
427507 -0.10147 0.04633 0.60086 1.17097 0.02040 -11.23 red
672025 -0.10736 0.05619 0.70460 1.47999 0.02380 -11.11 red
427603 -0.12012 0.06452 0.81640 1.04944 0.02748 4.16 blue
427614 -0.11397 0.05638 0.75226 1.89832 0.02537 -10.13 blue
427620 -0.08671 0.04263 0.56982 1.06556 0.01930 3.94 blue
427657 -0.09791 0.04851 0.69472 1.65738 0.02342 -11.45 red
673449 -0.13123 0.06046 0.68758 1.38825 0.02340 3.47 blue
427015 -0.13752 0.05431 0.77633 0.91294 0.02626 -9.61 blue
427126 -0.12387 0.06053 0.62048 1.55222 0.02120 -10.08 blue
427158 -0.13268 0.06583 0.63620 0.91226 0.02178 -9.52 blue
427494 -0.13917 0.05824 0.77422 1.12710 0.02621 -13.09 red
427601 -0.10884 0.06000 0.74214 2.09740 0.02503 -11.28 red
629556 -0.09494 0.03814 0.60965 0.87188 0.02063 nan blue
629558 -0.12449 0.04494 0.79680 0.74129 0.02683 -9.54 blue
627297 0.09553 -0.05089 0.70359 1.60343 0.02370 -10.58 red
627530 0.05182 0.04897 0.64185 1.53279 0.02153 -9.38 blue
629561 -0.11663 0.04507 0.74741 0.73919 0.02520 nan blue
629563 -0.12309 0.04959 0.78957 0.71890 0.02660 nan blue
630652 -0.27716 -0.07601 0.70306 0.94180 0.02526 nan blue
629567 -0.12606 0.05124 0.80770 0.65625 0.02720 nan blue
629569 -0.12334 0.04325 0.78690 0.96340 0.02650 -10.44 blue
426975 -0.11982 0.04576 0.62938 1.25310 0.02142 -10.34 blue
427007 -0.10582 0.04496 0.57717 1.02006 0.01965 -11.03 red
427476 -0.12400 0.05377 0.67918 1.05012 0.02307 -12.21 red
672808 -0.11095 0.05134 0.64575 1.34806 0.02191 -11.09 red
427560 -0.12810 0.06097 0.78794 1.13304 0.02660 4.24 blue
671955 -0.10887 0.05139 0.72209 1.53619 0.02436 -10.95 red
629571 -0.10479 0.04555 0.67165 0.88060 0.02270 -8.82 blue
629572 -0.10925 0.06247 0.70687 0.65597 0.02390 -9.32 blue
628924 -0.05815 0.05149 0.63395 0.68465 0.02130 -9.78 blue
628925 -0.06380 -0.04186 0.65008 2.73598 0.02182 -10.22 blue
627536 0.05524 -0.01707 0.65617 4.03020 0.02196 -12.06 red
426971 -0.12898 0.05901 0.68329 0.99884 0.02324 4.53 blue
427548 -0.11929 0.06075 0.73924 1.07844 0.02499 -10.45 blue
672003 -0.11833 0.06436 0.78078 2.38404 0.02633 -10.54 red
427637 -0.09502 0.04726 0.64696 1.58666 0.02186 -11.13 red
627313 0.08119 -0.05209 0.61317 1.60877 0.02071 nan blue
629803 -0.12191 0.05930 0.68326 0.73505 0.02320 -9.41 blue
426996 -0.11834 0.04557 0.63829 1.39548 0.02170 -13.09 red
628715 -0.05269 0.03600 0.66726 2.28389 0.02234 -10.86 red
418487 -0.23662 0.06061 0.77613 1.65757 0.02702 -10.32 blue
418602 -0.18149 0.05798 0.68053 1.11711 0.02353 -9.25 blue
427481 -0.11661 0.04993 0.65905 1.19098 0.02237 -9.70 blue
671879 -0.10900 0.05963 0.73992 2.98647 0.02496 -10.89 red
427659 -0.11603 0.06128 0.81706 1.04547 0.02747 -9.63 blue
427761 -0.12852 0.06888 0.76897 1.07234 0.02601 4.18 blue
630664 -0.22080 0.01099 0.58945 1.14309 0.02100 -9.28 blue
630665 -0.28978 0.02398 0.77702 0.88304 0.02754 -9.86 blue
629363 -0.09469 0.03807 0.70122 1.74582 0.02359 nan blue
629579 -0.10089 0.03906 0.64286 0.75794 0.02174 nan blue
629586 -0.10847 0.04695 0.69268 0.89204 0.02340 -9.32 blue
426953 -0.14171 0.05994 0.72850 1.47197 0.02477 -11.19 red
427003 -0.11809 0.04412 0.62825 0.93410 0.02137 -9.87 blue
427114 -0.12854 0.06574 0.67547 0.90880 0.02301 -9.49 blue
427497 -0.14058 0.05933 0.80064 0.90371 0.02707 -9.41 blue
427546 -0.12270 0.05265 0.75452 3.10645 0.02548 -11.11 red
629815 -0.12562 0.05893 0.69821 0.64935 0.02370 -8.06 blue
427593 -0.11796 0.05445 0.74963 1.62635 0.02530 -11.42 red
427701 -0.10283 0.06101 0.70628 1.50054 0.02385 -11.31 red
629589 -0.08924 0.03853 0.56958 0.72799 0.01930 -9.08 blue
629590 -0.10684 0.04158 0.67881 3.09365 0.02293 -10.65 red
472727 0.23129 0.05108 0.78937 1.02913 0.02736 -9.41 blue
629596 -0.08811 0.03796 0.56055 0.74492 0.01900 -7.88 blue
629598 -0.10459 0.03936 0.66227 0.93844 0.02238 -12.85 red
657960 0.17676 0.03241 0.63242 2.48287 0.02192 -10.29 blue
474855 0.12318 0.04503 0.65680 0.91225 0.02232 -9.37 blue
425003 -0.17117 0.06693 0.69104 1.00511 0.02380 -10.22 blue
473761 0.18753 0.02128 0.76534 1.07772 0.02620 -9.71 blue
473768 0.18746 0.02955 0.78397 1.27348 0.02679 -9.71 blue
474017 0.20058 0.04686 0.79072 1.01255 0.02713 -9.19 blue
628726 -0.05688 -0.07357 0.66198 1.31872 0.02228 -9.60 blue
474748 0.13724 0.03820 0.61954 0.83691 0.02120 -9.11 blue
474423 0.16550 0.06570 0.69817 1.14511 0.02398 -10.49 blue
474594 0.12975 0.02578 0.58473 1.04654 0.02001 -9.65 blue
426922 -0.13414 0.05187 0.67659 1.05784 0.02304 -9.53 blue
426925 -0.12020 0.04374 0.61173 1.39575 0.02085 -11.07 red
426951 -0.14880 0.06718 0.77140 0.91912 0.02620 -9.59 blue
629602 -0.11165 0.04476 0.70794 1.06945 0.02390 -9.05 blue
475671 0.12509 0.04772 0.69164 0.98041 0.02346 -9.66 blue
427516 -0.10125 0.04338 0.60381 1.09985 0.02048 -11.93 red
427536 -0.11911 0.06060 0.72509 3.79196 0.02453 -11.17 red
477027 0.07800 0.02502 0.62955 0.85984 0.02118 -9.15 blue
630689 -0.28776 -0.06430 0.72387 0.84090 0.02598 -8.08 blue
475845 0.09412 0.05417 0.66998 1.06826 0.02261 -9.43 blue
627992 0.00808 -0.00969 0.66826 1.39636 0.02228 -10.49 blue
477508 0.05224 0.06751 0.82810 1.17983 0.02764 -9.71 blue
629606 -0.12815 0.04883 0.81064 0.42851 0.02730 nan blue
629609 -0.10620 0.04113 0.67172 0.47260 0.02270 nan blue
418484 -0.22893 0.05478 0.75987 1.22225 0.02643 -9.68 blue
478037 0.04845 0.05149 0.80814 0.94200 0.02694 -9.07 blue
477942 0.06856 0.05031 0.81208 1.50956 0.02712 -10.51 red
676393 -0.23392 0.07316 0.76729 1.16752 0.02676 -10.27 blue
478072 0.04223 0.04836 0.81662 1.24629 0.02720 -9.81 blue
478312 0.03679 0.04343 0.78604 1.06191 0.02619 -9.63 blue
478815 0.02633 0.02221 0.79323 1.21035 0.02638 -9.64 blue
477990 0.06064 0.04943 0.81515 1.70192 0.02719 -10.59 red
479098 0.00883 0.05500 0.79368 0.96997 0.02644 -9.43 blue
479109 0.00212 0.05972 0.76352 1.24378 0.02546 -9.66 blue
629613 -0.09878 0.03707 0.62373 0.89344 0.02110 -9.34 blue
630903 -0.29800 0.07880 0.74692 1.58750 0.02684 -9.67 blue
630461 -0.22333 -0.06583 0.67001 1.15623 0.02362 -9.35 blue
665878 0.02199 0.01898 0.65202 4.32650 0.02176 -10.04 blue
479691 -0.00074 0.05227 0.79164 1.81773 0.02636 -10.04 blue
479177 0.01464 0.05346 0.77751 0.96768 0.02591 -9.87 blue
426917 -0.14513 0.06147 0.71169 1.05004 0.02426 -10.41 blue
667322 -0.00972 0.05225 0.81822 2.26269 0.02723 -12.77 red
668030 -0.03093 0.05758 0.80209 1.50387 0.02673 -9.58 blue
666516 0.00901 0.02527 0.76789 1.55248 0.02555 -9.29 blue
480717 -0.02000 0.07035 0.80910 1.27041 0.02698 -10.19 blue
480892 -0.04024 0.01873 0.61939 1.14925 0.02072 -11.40 red
427561 -0.09456 0.04739 0.60183 2.46589 0.02039 -11.17 red
427685 -0.09889 0.06490 0.69179 1.71089 0.02337 -12.40 red
480409 -0.00065 0.04142 0.79478 1.25825 0.02644 -10.68 red
629825 -0.10193 0.03173 0.55488 1.41475 0.01888 -11.01 red
480946 -0.04760 0.02867 0.75966 1.23011 0.02533 -12.95 red
