NSAID RA DEC redshift mstars sfr sfr_err rvir log_sSFR color
81 146.299863 -0.120004 0.03070 10.43 0.01 1.00 0.27259 -12.38 red
0 146.714215 -1.041280 0.02122 10.17 0.49 0.00 0.23010 -10.48 blue
470870 245.490192 14.640224 0.03001 9.89 0.01 0.00 0.19897 -11.95 red
471492 241.940740 20.540468 0.02962 9.55 0.36 0.00 0.17327 -9.99 blue
471705 243.913789 19.443924 0.02958 9.60 0.00 1.00 0.17683 -12.76 red
471866 244.103900 20.249519 0.03111 9.40 0.01 0.00 0.16366 -11.44 red
471903 243.886601 20.723777 0.03215 9.11 0.13 0.00 0.14744 -9.98 blue
472343 246.762378 16.382228 0.01536 10.49 0.00 0.00 0.29229 -14.09 red
473143 166.822334 26.129681 0.02199 9.09 0.45 0.00 0.14745 -9.44 blue
658116 167.571834 29.044468 0.02539 9.84 1.89 0.00 0.19533 -9.56 blue
474659 169.279472 26.583829 0.02631 9.05 0.26 0.00 0.14535 -9.64 blue
475401 172.113831 27.397313 0.03255 10.48 0.01 1.00 0.28523 -12.56 red
475451 172.829578 28.271604 0.02353 9.13 0.00 1.00 0.14966 -11.73 red
476406 175.304532 27.665095 0.02327 10.24 0.04 1.00 0.23913 -11.65 red
476432 175.574496 27.316152 0.03117 9.65 0.01 1.00 0.17968 -11.56 red
477078 177.934471 28.246038 0.02891 9.09 0.51 0.00 0.14674 -9.38 blue
477554 179.892476 28.716772 0.02701 9.18 0.04 0.00 0.15150 -10.58 red
665075 180.717124 26.252782 0.03215 10.81 812458395657180.75 -99.00 0.46044 4.10 blue
477966 179.757702 28.253773 0.02885 9.56 0.18 0.00 0.17412 -10.29 blue
478896 181.830700 28.048622 0.03025 9.51 100778099515037.03 -99.00 0.17074 4.49 blue
479554 184.520332 27.011849 0.02352 9.07 0.00 1.00 0.14613 -11.93 red
666977 184.772843 27.298823 0.02326 9.73 0.74 0.00 0.18687 -9.87 blue
480988 187.212168 26.700086 0.02212 9.85 0.01 1.00 0.19616 -12.06 red
481320 188.333835 27.450561 0.02311 9.28 0.00 1.00 0.15766 -11.68 red
481694 193.049369 26.874792 0.02061 10.07 0.35 0.00 0.21765 -10.52 red
481753 192.564440 27.060298 0.02221 9.31 0.00 0.00 0.15929 -12.11 red
481770 192.260475 26.893121 0.02459 10.39 0.30 0.00 0.26658 -10.92 red
481797 191.718965 26.709253 0.02028 9.51 0.57 0.00 0.17137 -9.75 blue
481847 190.276800 26.822377 0.01610 8.35 0.28 0.00 0.11531 -8.90 blue
481951 191.877773 27.956546 0.03183 9.34 0.01 1.00 0.15995 -11.29 red
481978 192.299235 27.385079 0.02087 9.06 0.00 1.00 0.14590 -11.61 red
482502 193.753489 27.483381 0.02321 9.70 0.01 1.00 0.18428 -11.78 red
482524 193.445117 27.487507 0.01694 8.67 0.01 1.00 0.12839 -10.75 red
482657 194.124227 27.940018 0.02213 10.43 0.25 0.00 0.27482 -11.02 red
672266 195.012589 28.240741 0.02569 9.10 0.81 0.00 0.14753 -9.19 blue
482791 195.212885 27.742979 0.02713 9.73 0.01 0.00 0.18629 -11.55 red
482844 194.955283 26.974277 0.02351 9.19 0.33 0.00 0.15246 -9.67 blue
482932 194.025425 27.677466 0.01648 9.39 0.89 0.00 0.16418 -9.44 blue
483063 194.640766 27.836759 0.01503 8.97 0.00 0.00 0.14185 -11.84 red
483088 194.767316 27.959168 0.02346 9.80 0.04 1.00 0.19206 -11.22 red
672180 194.844339 27.896796 0.01719 9.25 0.25 0.00 0.15620 -9.84 blue
483193 195.143461 27.934726 0.02923 9.58 30160576574914.14 -99.00 0.17543 3.90 blue
483345 195.121458 26.675357 0.02396 10.52 199355364302738.25 -99.00 0.30148 3.78 blue
483374 195.275798 27.397815 0.02706 9.93 0.09 0.00 0.20299 -10.99 red
483440 196.173664 28.227555 0.02403 9.28 0.02 0.00 0.15733 -10.93 red
484340 202.558084 26.665608 0.02480 9.71 0.19 0.00 0.18497 -10.43 blue
484428 204.237716 26.979451 0.02902 9.25 0.28 0.00 0.15513 -9.81 blue
484447 204.743809 26.496415 0.01720 8.92 0.18 0.00 0.13939 -9.67 blue
484976 118.325052 12.761748 0.02949 10.03 0.81 0.00 0.21273 -10.12 blue
485562 120.418077 15.644750 0.01655 9.62 0.00 1.00 0.17915 -12.99 red
485728 121.836606 15.026777 0.02962 10.09 0.07 0.00 0.21915 -11.24 red
485759 120.759682 15.318068 0.01544 8.90 0.03 0.00 0.13882 -10.36 blue
486071 121.457575 14.942893 0.02829 8.97 0.33 0.00 0.14091 -9.45 blue
486320 123.655873 15.221143 0.02878 9.64 0.58 0.00 0.17921 -9.87 blue
487398 127.169885 17.555333 0.02736 9.45 0.91 0.00 0.16718 -9.49 blue
488130 128.001478 19.566504 0.02899 9.55 0.23 0.00 0.17308 -10.19 blue
488685 130.465574 19.702505 0.01512 10.21 0.00 1.00 0.23665 -13.40 red
488811 128.810746 17.292417 0.03124 9.52 0.62 0.00 0.17100 -9.72 blue
489060 130.722848 17.022527 0.01969 8.52 0.13 0.00 0.12188 -9.41 blue
489575 132.075736 19.133546 0.01485 9.32 0.03 0.00 0.16042 -10.90 red
489702 135.133832 20.491672 0.03109 9.19 0.02 1.00 0.15193 -10.92 red
490506 137.494493 19.246804 0.02770 9.20 0.35 0.00 0.15254 -9.65 blue
490940 137.400319 19.542331 0.02848 10.01 0.05 0.00 0.21021 -11.27 red
490952 137.591044 18.875172 0.02900 9.36 0.00 1.00 0.16178 -11.83 red
491540 138.708780 20.970610 0.02839 9.64 0.09 0.00 0.17957 -10.67 red
491562 139.161178 20.311671 0.02996 10.05 0.43 0.00 0.21454 -10.41 blue
491691 141.129953 21.558632 0.03010 8.65 0.23 0.00 0.12649 -9.30 blue
491839 140.655808 21.957400 0.02602 10.21 0.28 0.00 0.23442 -10.76 red
491930 140.852036 22.283134 0.02904 9.53 44185446313332.91 -99.00 0.17216 4.11 blue
491958 140.888960 22.523794 0.02617 9.16 0.01 1.00 0.15055 -11.16 red
492137 141.055594 24.674627 0.02714 10.67 0.04 0.00 0.36488 -12.08 red
492175 145.257282 20.788841 0.02331 9.13 0.07 1.00 0.14953 -10.31 blue
492927 146.672520 22.046182 0.02590 9.95 0.01 0.00 0.20449 -12.17 red
494659 148.289798 27.621747 0.01984 10.31 0.04 0.00 0.25197 -11.67 red
494889 151.591367 24.239734 0.02130 9.22 0.67 0.00 0.15454 -9.40 blue
496584 155.164220 25.559938 0.02129 9.26 58890324519869.11 -99.00 0.15643 4.51 blue
498106 161.007658 26.435031 0.02135 9.33 0.00 1.00 0.16060 -11.80 red
498711 163.970958 26.578383 0.02182 9.89 1.08 0.00 0.20012 -9.86 blue
499797 148.155680 19.472516 0.02491 9.02 0.18 0.00 0.14360 -9.77 blue
500473 150.689669 21.679208 0.02861 10.39 0.01 1.00 0.26467 -12.28 red
500581 154.947429 21.759097 0.03171 9.12 0.33 0.00 0.14838 -9.60 blue
501825 144.015941 16.760363 0.02735 9.91 2.50 0.00 0.20082 -9.51 blue
501863 143.518456 17.831953 0.02741 10.60 0.40 0.00 0.32969 -11.00 red
502168 150.433334 17.968620 0.02618 9.01 0.21 0.00 0.14328 -9.70 blue
502698 151.843571 19.543688 0.03164 9.44 0.23 0.00 0.16594 -10.08 blue
503054 153.833517 20.772886 0.02871 9.78 0.01 1.00 0.18983 -11.85 red
503496 157.253422 19.653798 0.02593 9.78 0.32 0.00 0.19037 -10.27 blue
503507 156.587368 19.443892 0.02679 8.96 0.44 0.00 0.14069 -9.31 blue
647443 125.958861 11.550365 0.03185 10.94 0.14 0.00 0.59149 -11.79 red
505888 126.070711 11.581241 0.03155 9.93 0.00 1.00 0.20217 -12.39 red
506020 128.601851 12.692056 0.03217 9.75 0.99 0.00 0.18716 -9.75 blue
506784 131.144784 11.875385 0.02961 10.21 0.02 1.00 0.23379 -12.00 red
507869 134.114513 15.392007 0.01600 8.11 0.01 1.00 0.10679 -10.30 blue
508090 135.081931 17.293655 0.02881 9.50 0.65 0.00 0.17028 -9.69 blue
508153 135.879210 13.598872 0.02909 9.92 0.05 0.00 0.20204 -11.19 red
509012 136.264756 17.643128 0.03001 10.03 0.01 1.00 0.21237 -12.03 red
509114 136.492941 17.640045 0.02837 9.13 0.09 0.00 0.14876 -10.17 blue
510441 139.323187 16.519530 0.02690 9.43 0.01 1.00 0.16587 -11.50 red
510541 139.016333 17.628373 0.02862 11.20 8.53 0.00 1.01053 -10.27 blue
510704 141.269607 14.685543 0.02468 9.02 0.28 0.00 0.14359 -9.57 blue
510802 140.055275 14.403894 0.02806 9.04 0.00 1.00 0.14455 -12.17 red
511099 161.058507 22.725655 0.01977 9.89 0.03 1.00 0.19968 -11.45 red
512806 163.866121 23.352244 0.03233 10.05 0.32 0.00 0.21399 -10.54 red
513026 162.154032 19.024406 0.02799 9.69 0.62 0.00 0.18332 -9.90 blue
514256 165.940018 18.779617 0.03214 9.40 0.24 0.00 0.16382 -10.01 blue
656663 164.613090 24.196066 0.02251 9.82 0.94 0.00 0.19375 -9.85 blue
515084 166.442159 20.177669 0.03109 9.55 0.78 0.00 0.17317 -9.66 blue
515270 165.187847 22.287754 0.02290 9.38 0.69 0.00 0.16333 -9.54 blue
515381 166.334995 22.509018 0.02699 9.10 0.08 1.00 0.14736 -10.18 blue
515455 167.794629 23.336281 0.02164 9.83 0.04 1.00 0.19436 -11.27 red
516161 168.480080 16.192061 0.03156 10.25 1.93 0.00 0.24016 -9.97 blue
516536 167.840477 20.908700 0.02939 9.30 0.03 1.00 0.15834 -10.84 red
516622 166.827589 22.230441 0.02660 8.68 0.02 1.00 0.12795 -10.37 blue
516680 167.481127 21.781042 0.03151 9.46 0.00 1.00 0.16712 -12.53 red
516803 169.737059 23.090137 0.02587 10.40 0.17 0.00 0.26781 -11.18 red
517132 170.107877 24.496200 0.02511 10.16 0.83 0.00 0.22758 -10.24 blue
