NSAID smallestImpact
25624 8773.2
47884 3743.7
25809 8742.1
50360 1816.7
47193 3337.1
25827 8497.0
48546 2462.9
46551 7406.6
47557 1113.5
46661 3653.3
49179 6737.4
50320 4357.3
51228 7942.3
48014 1067.5
51184 8830.7
51135 6031.3
46156 7155.8
50509 5653.5
48880 4956.6
50510 5342.4
50658 5135.9
52561 2334.6
51167 8449.8
51205 8236.7
51303 6227.8
47734 1804.5
47898 3078.5
47935 1767.8
10681 8989.9
50334 3884.2
50511 5741.9
50569 6550.4
51138 6158.5
57899 4352.3
58185 2652.5
52061 2713.9
58307 2915.2
52588 2385.7
47059 4387.4
50567 6595.7
50726 4278.7
59653 3298.4
47598 1207.6
59991 4100.0
47950 1936.9
60209 7091.5
56792 10540.8
58486 3652.7
58724 5137.9
52050 3701.3
48878 4694.5
56819 6454.3
58908 4772.0
57613 6989.8
62008 6318.2
57972 2571.4
57478 5086.9
57345 8631.2
57757 2404.0
57665 5802.7
57671 6037.1
57969 3097.5
58001 2576.1
58539 5224.5
58163 3750.0
60819 9111.7
60205 6226.5
56811 9948.8
60234 6643.3
648794 5194.4
673917 2728.0
60534 9868.4
58805 7054.0
58898 4897.1
50483 4165.0
649313 4621.0
45923 10556.1
57977 2495.1
59362 1676.7
59474 1662.4
56934 6804.7
61995 6323.9
61181 5115.1
58369 1028.9
58382 1659.7
65037 5432.3
59929 5654.4
58685 4519.5
57508 5053.2
65379 6794.3
60566 8379.4
62949 7157.6
63018 5878.7
60396 10117.9
60410 7948.8
65735 3811.9
58215 3170.7
65761 4855.3
59570 3149.5
66159 284.3
58707 4970.6
56414 5893.1
57515 5072.5
63190 4911.6
60849 8454.8
67040 4703.9
56890 8893.6
64654 1680.7
65179 6276.3
64341 1521.4
67647 3415.6
650388 1493.0
65413 6293.7
57046 7501.9
63575 4426.1
63620 6040.6
65914 3600.8
58006 2440.6
64666 2559.6
65362 7064.1
69075 386.5
63972 4486.5
12588 2757.9
65578 4375.6
65732 3512.3
66178 1513.1
65123 5292.5
63741 3885.8
66352 1029.5
65874 4759.4
66647 2091.8
62808 8074.3
58726 6591.8
65372 5869.2
66358 898.1
66365 910.4
65606 4017.3
67035 3670.2
12750 4187.0
64579 554.8
63300 4895.5
67322 6067.5
60512 10231.0
65733 3805.8
63281 4731.9
66374 1536.0
67265 4950.2
67033 3553.5
66896 2150.1
659746 2418.2
68022 4657.7
68096 4256.0
67566 3763.5
67732 4734.4
64233 1948.9
65219 4697.3
658944 1003.3
627419 3828.7
68013 4293.6
67881 4996.9
68060 4226.3
67921 3258.0
68544 2533.0
68730 1531.6
68458 2343.1
68677 1327.7
67527 4061.5
50454 5230.0
61361 3603.4
68038 4717.8
68839 1129.7
68853 1863.9
67589 3203.1
68049 4469.8
66363 919.7
67569 3482.8
12880 3007.6
65376 6761.7
12893 2507.7
68021 5451.7
68062 4289.6
68090 4249.7
72823 2842.5
665163 4211.2
65739 5077.1
68174 5365.0
68928 2862.3
67241 4102.8
65946 2984.1
73314 3141.2
68620 1696.5
68852 1956.3
70478 1666.7
70883 4232.3
68709 2272.4
68942 2342.1
70983 6998.6
68158 4916.4
71117 5623.4
71121 5912.2
66826 754.4
68892 2359.3
74002 2093.2
67107 5360.8
71436 7651.6
74062 1960.5
68878 2671.6
70055 4216.8
71797 4368.5
71817 4200.6
71844 4149.7
648999 5408.2
675619 6406.9
68528 2650.7
71477 7984.8
67577 4387.1
67633 4003.8
71831 4283.6
72201 4592.7
69648 5603.1
71924 4564.7
58994 7827.7
67943 3377.1
68689 2346.3
68058 4003.5
