name x1 y1 z1 x2 y2 z2 RA DEC
1SAXJ1032.3+5051 0.01724 0.02768 0.05184 0.04329 0.06950 0.13016 158.067078 50.855556
2E-1058.1+1102 0.01993 -0.01442 0.05608 0.05005 -0.03622 0.14082 165.199387 10.770345
2MASS-J09311671+2628474 0.03649 0.00676 0.04872 0.09161 0.01697 0.12233 142.819626 26.479860
2MASS-J09512393+3542490 0.02971 0.01481 0.05146 0.07461 0.03719 0.12921 147.849686 35.713573
2MASS-J09591486+3203573 0.02957 0.01069 0.05255 0.07425 0.02684 0.13196 149.811829 32.065899
2MASS-J10131797+0500342 0.03162 -0.01791 0.04929 0.07941 -0.04498 0.12377 153.324936 5.009456
2MASS-J10512569+1247462 0.02207 -0.01196 0.05586 0.05542 -0.03004 0.14026 162.857208 12.796191
2MASS-J11321056+1335091 0.01187 -0.01246 0.05877 0.02981 -0.03129 0.14758 173.043991 13.585908
2MASS-J12421031+3214268 -0.00541 0.00697 0.06060 -0.01358 0.01750 0.15217 190.542999 32.240776
2MASS-J13250381+2717189 -0.01566 0.00257 0.05915 -0.03931 0.00645 0.14853 201.265915 27.288528
2MASS-J13482237+2456498 -0.02129 0.00091 0.05741 -0.05346 0.00229 0.14417 207.092987 24.947247
2MASS-J14042827+3353426 -0.02274 0.01094 0.05580 -0.05709 0.02747 0.14012 211.117844 33.895187
2MASS-J14294076+0321257 -0.03318 -0.01914 0.04778 -0.08332 -0.04806 0.11998 217.419769 3.357175
2MASS-J14312586+2442203 -0.03055 0.00279 0.05300 -0.07672 0.00700 0.13309 217.857834 24.705723
2MASS-J15412146+2817063 -0.04179 0.01127 0.04333 -0.10493 0.02830 0.10879 235.339508 28.285080
2MASSIJ1431258+244220 -0.03055 0.00279 0.05300 -0.07672 0.00700 0.13309 217.857834 24.705744
2MASX-J15442722+2743237 -0.04246 0.01097 0.04274 -0.10663 0.02754 0.10733 236.113586 27.723383
2MASX-J16194054+2543233 -0.04796 0.01204 0.03613 -0.12042 0.03024 0.09072 244.919006 25.723108
2XMM-J100420.0+051300 0.03363 -0.01715 0.04822 0.08444 -0.04306 0.12109 151.083923 5.216803
2XMM-J141348.3+440014 -0.02129 0.02150 0.05324 -0.05346 0.05398 0.13370 213.451370 44.003914
3C263 0.00417 0.03950 0.04662 0.01047 0.09917 0.11706 174.987442 65.796997
3C273 -0.00291 -0.02465 0.05598 -0.00732 -0.06191 0.14057 187.277893 2.052406
4C-13.41 0.03225 -0.00966 0.05116 0.08098 -0.02427 0.12845 151.858795 12.815583
4C57.27 -0.02741 0.03858 0.03887 -0.06882 0.09687 0.09760 240.983032 57.515114
4C63.22 -0.01968 0.04124 0.04078 -0.04941 0.10354 0.10239 230.941254 63.656666
7C-113807.79+463840.00 0.00686 0.02174 0.05684 0.01724 0.05458 0.14273 175.199585 46.368057
