x y z rvir redshift log_sSFR color
0.36496 -0.23012 0.46765 0.00153 0.02122 -10.48 blue
0.15226 0.02221 0.64140 0.00098 0.02199 -9.44 blue
0.16317 0.06333 0.74319 0.00130 0.02539 -9.56 blue
0.15259 0.02988 0.77653 0.00097 0.02631 -9.64 blue
0.09620 0.04435 0.69868 0.00100 0.02353 -11.73 red
0.06916 0.03498 0.69442 0.00159 0.02327 -11.65 red
0.02276 0.05387 0.81115 0.00101 0.02701 -10.58 blue
-0.03074 0.02599 0.70536 0.00097 0.02352 -11.93 red
-0.03304 0.02925 0.69709 0.00125 0.02326 -9.87 blue
-0.05672 0.02165 0.66075 0.00131 0.02212 -12.06 red
-0.07091 0.03225 0.68950 0.00105 0.02311 -11.68 red
-0.10822 0.02549 0.60759 0.00145 0.02061 -10.52 blue
-0.11162 0.02924 0.65625 0.00106 0.02221 -12.11 red
-0.12057 0.03002 0.72860 0.00178 0.02459 -10.92 blue
-0.09421 0.02234 0.59974 0.00114 0.02028 -9.75 blue
-0.10197 0.03078 0.61642 0.00097 0.02087 -11.61 red
-0.12891 0.03679 0.68404 0.00123 0.02321 -11.78 red
-0.12599 0.04064 0.65065 0.00183 0.02213 -11.02 blue
-0.15649 0.05232 0.75485 0.00098 0.02569 -9.19 blue
-0.16871 0.04852 0.79800 0.00124 0.02713 -11.55 red
-0.14403 0.03223 0.69035 0.00102 0.02351 -9.67 blue
-0.14045 0.04400 0.68889 0.00128 0.02346 -11.22 blue
-0.14903 0.02931 0.70347 0.00201 0.02396 3.78 blue
-0.16958 0.04359 0.79592 0.00135 0.02706 -10.99 blue
-0.15879 0.05003 0.70265 0.00105 0.02403 -10.93 blue
-0.23699 0.04096 0.70570 0.00123 0.02480 -10.43 blue
0.63993 0.03333 0.51789 0.00111 0.02736 -9.49 blue
0.43812 0.00697 0.39450 0.00081 0.01969 -9.41 blue
0.54955 0.01149 0.62793 0.00102 0.02770 -9.65 blue
0.47702 0.03471 0.61987 0.00156 0.02602 -10.76 blue
0.47556 0.04156 0.62617 0.00100 0.02617 -11.16 blue
0.48387 0.07194 0.65454 0.00243 0.02714 -12.08 red
0.38886 0.00346 0.58188 0.00100 0.02331 -10.31 blue
0.41479 0.01601 0.65950 0.00136 0.02590 -12.17 red
0.29008 0.06463 0.51459 0.00168 0.01984 -11.67 red
0.29226 0.02547 0.56715 0.00103 0.02130 -9.40 blue
0.25752 0.03264 0.58332 0.00104 0.02129 4.51 blue
0.20272 0.03243 0.60625 0.00107 0.02135 -11.80 red
0.17844 0.03058 0.62893 0.00133 0.02182 -9.86 blue
0.39043 -0.02159 0.63882 0.00096 0.02491 -9.77 blue
0.48244 -0.04762 0.66606 0.00134 0.02735 -9.51 blue
0.48598 -0.03105 0.66652 0.00220 0.02741 -11.00 blue
0.38918 -0.04954 0.68316 0.00096 0.02618 -9.70 blue
0.30430 -0.04392 0.71700 0.00127 0.02593 -10.27 blue
0.32302 -0.04675 0.73752 0.00094 0.02679 -9.31 blue
0.52355 -0.03286 0.61704 0.00111 0.02690 -11.50 red
0.46560 -0.05962 0.57447 0.00096 0.02468 -9.57 blue
0.19270 -0.00796 0.55976 0.00133 0.01977 -11.45 blue
0.18130 0.00285 0.65087 0.00129 0.02251 -9.85 blue
0.18103 -0.02060 0.66293 0.00109 0.02290 -9.54 blue
0.19917 -0.02297 0.78745 0.00098 0.02699 -10.18 blue
0.14344 -0.01066 0.63291 0.00130 0.02164 -11.27 blue
0.19052 -0.02721 0.77728 0.00085 0.02660 -10.37 blue
0.14866 -0.01840 0.76373 0.00179 0.02587 -11.18 blue
0.13834 0.00022 0.74238 0.00152 0.02511 -10.24 blue
0.12596 -0.02585 0.61207 0.00083 0.02087 -11.34 blue
0.10533 -0.01288 0.71918 0.00098 0.02419 -9.77 blue
0.10620 -0.01209 0.62211 0.00089 0.02106 -9.98 blue
0.13556 0.00047 0.77493 0.00192 0.02614 -11.02 blue
0.09495 -0.05693 0.55889 0.00084 0.01903 -8.43 blue
0.10682 -0.01972 0.63692 0.00191 0.02155 -9.76 blue
0.09235 -0.01685 0.55722 0.00089 0.01888 -9.05 blue
0.08961 -0.04476 0.60536 0.00164 0.02048 -9.74 blue
0.08148 -0.05592 0.64767 0.00094 0.02184 -11.60 red
